id,id_seccion,id_curso,id_profesor,horas_semanales,dia_principal
90,9,10,72,2,Miercoles
91,10,1,20,2,Jueves
92,10,2,124,4,Jueves
93,10,3,35,5,Miercoles
94,10,4,50,5,Lunes
95,10,5,82,2,Viernes
96,10,6,95,3,Viernes
97,10,7,36,3,Viernes
98,10,8,107,2,Jueves
99,10,9,114,2,Viernes
100,10,10,19,3,Lunes
101,11,1,121,4,Jueves
102,11,2,1,5,Lunes
103,11,3,24,5,Viernes
104,11,4,104,5,Jueves
105,11,5,81,4,Jueves
106,11,6,102,3,Jueves
107,11,7,80,2,Jueves
108,11,8,92,5,Lunes
109,11,9,51,4,Martes
110,11,10,55,5,Miercoles
111,12,1,115,5,Lunes
112,12,2,13,5,Viernes
113,12,3,30,5,Miercoles
114,12,4,60,5,Miercoles
115,12,5,44,4,Miercoles
116,12,6,102,5,Martes
117,12,7,36,3,Jueves
118,12,8,56,3,Jueves
119,12,9,73,3,Lunes
120,12,10,71,4,Jueves
121,13,1,11,2,Lunes
122,13,2,105,3,Martes
123,13,3,24,5,Viernes
124,13,4,53,2,Miercoles
125,13,5,81,2,Miercoles
126,13,6,14,4,Martes
127,13,7,36,2,Jueves
128,13,8,129,5,Lunes
129,13,9,90,4,Miercoles
130,13,10,55,2,Jueves
131,14,1,89,5,Jueves
132,14,2,47,2,Martes
133,14,3,117,5,Martes
134,14,4,91,4,Miercoles
135,14,5,87,4,Lunes
136,14,6,102,4,Jueves
137,14,7,36,5,Lunes
138,14,8,18,2,Martes
139,14,9,16,3,Jueves
140,14,10,84,3,Jueves
141,15,1,121,3,Jueves
142,15,2,99,5,Jueves
143,15,3,35,5,Lunes
144,15,4,104,5,Martes
145,15,5,44,5,Miercoles
146,15,6,14,4,Lunes
147,15,7,86,3,Jueves
148,15,8,107,5,Miercoles
149,15,9,73,3,Martes
150,15,10,71,4,Viernes
151,16,1,4,2,Miercoles
152,16,2,99,2,Viernes
153,16,3,33,2,Jueves
154,16,4,53,5,Viernes
155,16,5,82,4,Lunes
156,16,6,75,3,Viernes
157,16,7,116,5,Miercoles
158,16,8,56,2,Martes
159,16,9,70,3,Lunes
160,16,10,85,2,Jueves
161,17,1,115,3,Viernes
162,17,2,66,4,Martes
163,17,3,34,2,Viernes
164,17,4,32,4,Jueves
165,17,5,2,5,Jueves
166,17,6,14,3,Jueves
167,17,7,74,2,Miercoles
168,17,8,107,5,Viernes
169,17,9,22,5,Martes
170,17,10,39,5,Martes
171,18,1,101,3,Lunes
172,18,2,124,5,Lunes
173,18,3,40,5,Miercoles
174,18,4,77,4,Viernes
175,18,5,46,4,Miercoles
176,18,6,27,3,Martes
177,18,7,98,4,Lunes
178,18,8,129,4,Martes
179,18,9,67,2,Viernes
180,18,10,88,5,Lunes
181,19,1,93,3,Miercoles
182,19,2,42,2,Jueves
183,19,3,26,2,Jueves
184,19,4,57,4,Jueves
185,19,5,108,2,Jueves
186,19,6,27,2,Lunes
187,19,7,74,2,Lunes
188,19,8,37,4,Martes
189,19,9,65,5,Viernes
190,19,10,88,4,Martes
191,20,1,6,2,Miercoles
192,20,2,1,3,Viernes
193,20,3,40,5,Miercoles
194,20,4,120,4,Viernes
195,20,5,108,5,Viernes
196,20,6,14,2,Lunes
197,20,7,25,2,Lunes
198,20,8,31,3,Martes
199,20,9,16,3,Lunes
200,20,10,85,4,Miercoles
201,21,1,122,5,Lunes
202,21,2,13,3,Jueves
203,21,3,117,5,Martes
204,21,4,128,3,Lunes
205,21,5,81,4,Martes
206,21,6,28,2,Jueves
207,21,7,25,2,Miercoles
208,21,8,56,3,Martes
209,21,9,90,5,Lunes
210,21,10,5,2,Martes
211,22,1,8,3,Lunes
212,22,2,125,5,Jueves
213,22,3,35,2,Martes
214,22,4,17,4,Miercoles
215,22,5,126,3,Martes
216,22,6,27,4,Lunes
217,22,7,80,2,Lunes
218,22,8,56,5,Miercoles
219,22,9,90,5,Lunes
220,22,10,39,5,Miercoles
221,23,1,20,4,Viernes
222,23,2,10,3,Viernes
223,23,3,24,2,Miercoles
224,23,4,104,3,Lunes
225,23,5,49,3,Miercoles
226,23,6,28,3,Jueves
227,23,7,25,5,Martes
228,23,8,37,3,Viernes
229,23,9,67,2,Lunes
230,23,10,5,3,Viernes
231,24,1,101,3,Miercoles
232,24,2,45,3,Lunes
233,24,3,33,3,Lunes
234,24,4,58,4,Jueves
235,24,5,103,3,Lunes
236,24,6,12,3,Miercoles
237,24,7,80,5,Lunes
238,24,8,107,4,Martes
239,24,9,16,4,Miercoles
240,24,10,39,2,Lunes
241,25,1,8,2,Jueves
242,25,2,105,5,Martes
243,25,3,43,4,Miercoles
244,25,4,32,2,Miercoles
245,25,5,87,5,Martes
246,25,6,14,5,Lunes
247,25,7,25,3,Lunes
248,25,8,23,5,Viernes
249,25,9,63,4,Miercoles
250,25,10,83,4,Lunes
251,26,1,109,5,Lunes
252,26,2,105,3,Miercoles
253,26,3,127,2,Viernes
254,26,4,58,4,Martes
255,26,5,126,4,Viernes
256,26,6,14,2,Viernes
257,26,7,25,5,Lunes
258,26,8,23,4,Jueves
259,26,9,63,3,Lunes
260,26,10,71,2,Miercoles
261,27,1,8,2,Miercoles
262,27,2,124,3,Miercoles
263,27,3,100,2,Lunes
264,27,4,41,5,Miercoles
265,27,5,46,2,Lunes
266,27,6,28,4,Jueves
267,27,7,86,4,Martes
268,27,8,18,3,Miercoles
269,27,9,16,5,Jueves
270,27,10,71,2,Miercoles
271,28,1,20,4,Viernes
272,28,2,99,5,Lunes
273,28,3,34,3,Martes
274,28,4,104,4,Jueves
275,28,5,46,2,Lunes
276,28,6,14,2,Lunes
277,28,7,86,5,Miercoles
278,28,8,37,2,Jueves
279,28,9,15,2,Lunes
280,28,10,83,3,Jueves
281,29,1,11,2,Lunes
282,29,2,99,3,Jueves
283,29,3,24,5,Martes
284,29,4,50,4,Miercoles
285,29,5,126,4,Viernes
286,29,6,12,4,Miercoles
287,29,7,36,3,Lunes
288,29,8,37,2,Martes
289,29,9,15,2,Martes
290,29,10,85,4,Miercoles
291,30,1,6,2,Viernes
292,30,2,66,4,Martes
293,30,3,35,2,Jueves
294,30,4,104,2,Martes
295,30,5,46,4,Viernes
296,30,6,96,4,Jueves
297,30,7,98,5,Viernes
298,30,8,107,4,Lunes
299,30,9,90,4,Jueves
300,30,10,71,3,Martes
301,31,1,11,2,Jueves
302,31,2,99,3,Miercoles
303,31,3,127,5,Miercoles
304,31,4,91,2,Viernes
305,31,5,2,2,Viernes
306,31,6,28,2,Martes
307,31,7,74,4,Miercoles
308,31,8,107,3,Miercoles
309,31,9,29,5,Miercoles
310,31,10,5,5,Jueves
311,32,1,121,3,Viernes
312,32,2,45,4,Lunes
313,32,3,34,2,Miercoles
314,32,4,57,2,Miercoles
315,32,5,126,5,Miercoles
316,32,6,14,2,Martes
317,32,7,98,4,Lunes
318,32,8,92,4,Lunes
319,32,9,48,3,Viernes
320,32,10,3,4,Jueves
321,33,1,6,3,Jueves
322,33,2,42,4,Miercoles
323,33,3,33,5,Martes
324,33,4,110,4,Jueves
325,33,5,46,2,Martes
326,33,6,12,4,Lunes
327,33,7,80,2,Jueves
328,33,8,92,5,Miercoles
329,33,9,15,4,Martes
330,33,10,85,4,Lunes
331,34,1,121,2,Martes
332,34,2,42,5,Viernes
333,34,3,97,5,Miercoles
334,34,4,57,5,Miercoles
335,34,5,108,3,Martes
336,34,6,102,5,Viernes
337,34,7,74,3,Miercoles
338,34,8,31,5,Miercoles
339,34,9,70,5,Lunes
340,34,10,55,4,Viernes
341,35,1,115,2,Martes
342,35,2,42,5,Martes
343,35,3,100,5,Lunes
344,35,4,58,2,Jueves
345,35,5,108,4,Jueves
346,35,6,14,2,Miercoles
347,35,7,36,4,Viernes
348,35,8,23,4,Jueves
349,35,9,70,4,Martes
350,35,10,39,4,Martes
351,36,1,109,3,Martes
352,36,2,13,5,Viernes
353,36,3,117,3,Lunes
354,36,4,32,4,Lunes
355,36,5,44,5,Viernes
356,36,6,12,3,Jueves
357,36,7,80,4,Martes
358,36,8,23,5,Martes
359,36,9,21,4,Miercoles
360,36,10,85,2,Martes
361,37,1,93,3,Viernes
362,37,2,125,4,Viernes
363,37,3,35,4,Miercoles
364,37,4,110,3,Lunes
365,37,5,82,4,Miercoles
366,37,6,95,5,Miercoles
367,37,7,98,3,Martes
368,37,8,37,5,Lunes
369,37,9,76,3,Miercoles
370,37,10,118,5,Jueves
371,38,1,101,4,Lunes
372,38,2,99,2,Martes
373,38,3,34,3,Miercoles
374,38,4,58,5,Viernes
375,38,5,87,3,Jueves
376,38,6,102,2,Lunes
377,38,7,80,4,Lunes
378,38,8,92,3,Miercoles
379,38,9,76,4,Viernes
380,38,10,83,3,Jueves
381,39,1,123,2,Viernes
382,39,2,105,2,Martes
383,39,3,7,5,Miercoles
384,39,4,38,5,Lunes
385,39,5,44,2,Lunes
386,39,6,95,3,Miercoles
387,39,7,86,2,Lunes
388,39,8,92,4,Lunes
389,39,9,63,3,Viernes
390,39,10,59,2,Viernes
391,40,1,78,4,Lunes
392,40,2,1,2,Miercoles
393,40,3,7,4,Jueves
394,40,4,68,4,Miercoles
395,40,5,108,5,Lunes
396,40,6,102,2,Viernes
397,40,7,80,4,Jueves
398,40,8,92,3,Lunes
399,40,9,63,4,Martes
400,40,10,19,4,Miercoles
401,41,1,89,2,Martes
402,41,2,47,4,Miercoles
403,41,3,24,3,Lunes
404,41,4,41,5,Miercoles
405,41,5,2,4,Miercoles
406,41,6,75,4,Viernes
407,41,7,86,3,Lunes
408,41,8,56,3,Lunes
409,41,9,63,5,Viernes
410,41,10,112,2,Lunes
411,42,1,11,3,Miercoles
412,42,2,10,4,Jueves
413,42,3,127,5,Viernes
414,42,4,60,5,Miercoles
415,42,5,2,3,Jueves
416,42,6,102,2,Viernes
417,42,7,116,5,Viernes
418,42,8,56,2,Jueves
419,42,9,70,5,Viernes
420,42,10,3,3,Lunes
421,43,1,121,4,Viernes
422,43,2,106,2,Viernes
423,43,3,40,4,Lunes
424,43,4,32,2,Miercoles
425,43,5,81,5,Miercoles
426,43,6,96,4,Viernes
427,43,7,74,5,Lunes
428,43,8,107,4,Jueves
429,43,9,51,4,Viernes
430,43,10,19,3,Martes
431,44,1,121,4,Martes
432,44,2,105,2,Martes
433,44,3,52,5,Martes
434,44,4,60,5,Jueves
435,44,5,126,5,Lunes
436,44,6,75,2,Lunes
437,44,7,116,4,Viernes
438,44,8,64,2,Martes
439,44,9,63,2,Miercoles
440,44,10,88,4,Martes
441,45,1,123,2,Martes
442,45,2,13,5,Lunes
443,45,3,35,3,Miercoles
444,45,4,41,2,Martes
445,45,5,46,5,Lunes
446,45,6,27,5,Martes
447,45,7,116,4,Martes
448,45,8,129,3,Viernes
449,45,9,73,5,Jueves
450,45,10,5,3,Jueves
451,46,1,93,3,Jueves
452,46,2,1,4,Jueves
453,46,3,127,4,Miercoles
454,46,4,60,2,Viernes
455,46,5,44,4,Lunes
456,46,6,102,3,Viernes
457,46,7,116,3,Viernes
458,46,8,31,3,Viernes
459,46,9,22,2,Martes
460,46,10,9,5,Lunes
461,47,1,6,4,Jueves
462,47,2,45,5,Lunes
463,47,3,52,5,Jueves
464,47,4,57,2,Miercoles
465,47,5,126,4,Lunes
466,47,6,28,4,Martes
467,47,7,36,2,Miercoles
468,47,8,18,4,Miercoles
469,47,9,21,5,Martes
470,47,10,83,3,Viernes
471,48,1,101,5,Martes
472,48,2,10,3,Lunes
473,48,3,117,3,Jueves
474,48,4,128,3,Jueves
475,48,5,46,5,Lunes
476,48,6,14,2,Jueves
477,48,7,80,4,Miercoles
478,48,8,64,4,Lunes
479,48,9,48,3,Viernes
480,48,10,54,4,Jueves
481,49,1,6,2,Jueves
482,49,2,42,5,Martes
483,49,3,24,4,Lunes
484,49,4,77,4,Miercoles
485,49,5,108,5,Lunes
486,49,6,12,3,Martes
487,49,7,116,3,Martes
488,49,8,31,4,Miercoles
489,49,9,76,4,Lunes
490,49,10,72,4,Martes
491,50,1,93,4,Martes
492,50,2,47,3,Lunes
493,50,3,117,3,Lunes
494,50,4,41,4,Lunes
495,50,5,46,4,Martes
496,50,6,27,2,Miercoles
497,50,7,74,4,Jueves
498,50,8,61,3,Martes
499,50,9,29,3,Martes
500,50,10,118,3,Jueves
501,51,1,122,4,Viernes
502,51,2,47,2,Lunes
503,51,3,26,3,Viernes
504,51,4,50,3,Martes
505,51,5,108,4,Viernes
506,51,6,12,5,Martes
507,51,7,25,4,Jueves
508,51,8,129,4,Martes
509,51,9,62,2,Martes
510,51,10,72,2,Viernes
511,52,1,109,4,Miercoles
512,52,2,99,2,Viernes
513,52,3,33,4,Miercoles
514,52,4,58,3,Viernes
515,52,5,49,2,Viernes
516,52,6,75,2,Jueves
517,52,7,74,4,Lunes
518,52,8,37,3,Lunes
519,52,9,90,5,Miercoles
520,52,10,59,5,Miercoles
521,53,1,113,2,Miercoles
522,53,2,105,5,Lunes
523,53,3,40,4,Lunes
524,53,4,60,2,Viernes
525,53,5,81,5,Lunes
526,53,6,96,4,Miercoles
527,53,7,36,5,Viernes
528,53,8,23,5,Martes
529,53,9,70,3,Lunes
530,53,10,84,2,Jueves
531,54,1,109,2,Lunes
532,54,2,130,4,Lunes
533,54,3,97,5,Lunes
534,54,4,53,2,Martes
535,54,5,49,2,Lunes
536,54,6,14,4,Miercoles
537,54,7,74,4,Miercoles
538,54,8,107,5,Lunes
539,54,9,21,5,Miercoles
540,54,10,88,3,Martes
541,55,1,4,5,Viernes
542,55,2,45,3,Martes
543,55,3,52,4,Miercoles
544,55,4,60,5,Miercoles
545,55,5,49,5,Lunes
546,55,6,95,2,Lunes
547,55,7,116,5,Martes
548,55,8,18,2,Martes
549,55,9,22,4,Lunes
550,55,10,39,3,Martes
551,56,1,111,2,Lunes
552,56,2,125,5,Viernes
553,56,3,30,3,Jueves
554,56,4,58,3,Jueves
555,56,5,108,5,Jueves
556,56,6,75,2,Jueves
557,56,7,116,5,Lunes
558,56,8,37,4,Martes
559,56,9,15,5,Jueves
560,56,10,69,2,Jueves
561,57,1,111,4,Jueves
562,57,2,13,4,Miercoles
563,57,3,40,5,Jueves
564,57,4,128,5,Jueves
565,57,5,49,4,Miercoles
566,57,6,14,2,Martes
567,57,7,98,3,Viernes
568,57,8,37,4,Lunes
569,57,9,76,3,Miercoles
570,57,10,71,4,Jueves
571,58,1,93,4,Martes
572,58,2,42,3,Viernes
573,58,3,33,3,Lunes
574,58,4,58,2,Miercoles
575,58,5,126,4,Lunes
576,58,6,102,3,Miercoles
577,58,7,80,3,Lunes
578,58,8,92,2,Lunes
579,58,9,21,3,Jueves
580,58,10,54,5,Lunes
581,59,1,79,2,Miercoles
582,59,2,66,2,Viernes
583,59,3,35,5,Viernes
584,59,4,68,2,Miercoles
585,59,5,82,3,Jueves
586,59,6,28,4,Miercoles
587,59,7,86,3,Jueves
588,59,8,56,2,Viernes
589,59,9,73,3,Lunes
590,59,10,72,4,Jueves
591,60,1,122,2,Martes
592,60,2,124,5,Miercoles
593,60,3,35,3,Martes
594,60,4,41,2,Martes
595,60,5,46,4,Viernes
596,60,6,95,2,Lunes
597,60,7,86,3,Viernes
598,60,8,37,3,Miercoles
599,60,9,63,3,Miercoles
600,60,10,71,2,Miercoles
601,61,1,115,4,Martes
602,61,2,47,3,Martes
603,61,3,33,3,Jueves
604,61,4,58,2,Viernes
605,61,5,81,5,Jueves
606,61,6,75,3,Miercoles
607,61,7,86,2,Miercoles
608,61,8,94,2,Viernes
609,61,9,21,2,Jueves
610,61,10,59,5,Jueves
611,62,1,11,2,Jueves
612,62,2,13,4,Martes
613,62,3,34,5,Miercoles
614,62,4,58,3,Miercoles
615,62,5,81,4,Miercoles
616,62,6,96,3,Lunes
617,62,7,116,5,Martes
618,62,8,37,5,Miercoles
619,62,9,67,3,Jueves
620,62,10,5,3,Viernes
621,63,1,89,3,Miercoles
622,63,2,105,3,Viernes
623,63,3,127,4,Lunes
624,63,4,77,3,Miercoles
625,63,5,108,3,Viernes
626,63,6,96,4,Jueves
627,63,7,74,3,Viernes
628,63,8,107,4,Martes
629,63,9,114,3,Martes
630,63,10,119,3,Jueves
631,64,1,115,3,Lunes
632,64,2,13,3,Viernes
633,64,3,26,2,Lunes
634,64,4,50,5,Viernes
635,64,5,44,4,Miercoles
636,64,6,102,4,Lunes
637,64,7,98,4,Martes
638,64,8,23,2,Martes
639,64,9,90,5,Viernes
640,64,10,83,5,Martes
641,65,1,20,5,Lunes
642,65,2,1,2,Lunes
643,65,3,97,5,Lunes
644,65,4,77,4,Jueves
645,65,5,108,3,Miercoles
646,65,6,12,4,Lunes
647,65,7,98,5,Lunes
648,65,8,94,5,Martes
649,65,9,70,3,Miercoles
650,65,10,3,5,Viernes
651,66,1,115,3,Lunes
652,66,2,42,5,Miercoles
653,66,3,100,4,Miercoles
654,66,4,57,2,Lunes
655,66,5,82,2,Martes
656,66,6,75,2,Jueves
657,66,7,25,3,Lunes
658,66,8,37,5,Martes
659,66,9,65,3,Martes
660,66,10,112,5,Lunes
661,67,1,79,2,Viernes
662,67,2,124,4,Jueves
663,67,3,35,3,Martes
664,67,4,120,4,Miercoles
665,67,5,103,5,Lunes
666,67,6,27,4,Martes
667,67,7,74,2,Martes
668,67,8,31,4,Viernes
669,67,9,51,4,Lunes
670,67,10,88,3,Miercoles
671,68,1,20,4,Lunes
672,68,2,47,4,Jueves
673,68,3,43,3,Jueves
674,68,4,53,4,Miercoles
675,68,5,81,2,Miercoles
676,68,6,28,5,Martes
677,68,7,80,4,Lunes
678,68,8,129,2,Martes
679,68,9,65,2,Viernes
680,68,10,71,4,Lunes
681,69,1,122,4,Lunes
682,69,2,10,3,Viernes
683,69,3,40,4,Lunes
684,69,4,77,2,Miercoles
685,69,5,2,2,Jueves
686,69,6,14,4,Lunes
687,69,7,98,5,Jueves
688,69,8,61,2,Lunes
689,69,9,63,4,Viernes
690,69,10,71,3,Miercoles
691,70,1,111,3,Jueves
692,70,2,106,4,Lunes
693,70,3,35,3,Jueves
694,70,4,32,3,Viernes
695,70,5,87,4,Viernes
696,70,6,27,4,Jueves
697,70,7,36,4,Viernes
698,70,8,56,5,Lunes
699,70,9,48,5,Miercoles
700,70,10,71,3,Martes
701,71,1,93,4,Lunes
702,71,2,47,4,Jueves
703,71,3,35,2,Miercoles
704,71,4,104,4,Martes
705,71,5,103,5,Miercoles
706,71,6,14,4,Lunes
707,71,7,86,5,Miercoles
708,71,8,92,3,Jueves
709,71,9,90,4,Viernes
710,71,10,59,3,Martes
711,72,1,115,4,Lunes
712,72,2,124,3,Miercoles
713,72,3,7,4,Jueves
714,72,4,53,3,Viernes
715,72,5,103,3,Martes
716,72,6,95,4,Martes
717,72,7,74,3,Lunes
718,72,8,31,4,Miercoles
719,72,9,16,3,Martes
720,72,10,39,5,Jueves
721,73,1,121,5,Jueves
722,73,2,47,5,Miercoles
723,73,3,100,4,Miercoles
724,73,4,120,3,Martes
725,73,5,82,5,Jueves
726,73,6,27,2,Viernes
727,73,7,80,5,Lunes
728,73,8,23,3,Miercoles
729,73,9,16,3,Viernes
730,73,10,55,3,Miercoles
731,74,1,11,5,Jueves
732,74,2,66,5,Miercoles
733,74,3,34,5,Miercoles
734,74,4,17,2,Lunes
735,74,5,108,4,Martes
736,74,6,102,5,Viernes
737,74,7,98,2,Lunes
738,74,8,107,2,Lunes
739,74,9,48,5,Viernes
740,74,10,55,2,Miercoles
741,75,1,89,2,Lunes
742,75,2,42,2,Miercoles
743,75,3,127,5,Lunes
744,75,4,128,5,Miercoles
745,75,5,87,2,Lunes
746,75,6,12,5,Jueves
747,75,7,36,3,Martes
748,75,8,56,4,Miercoles
749,75,9,21,3,Jueves
750,75,10,54,2,Martes
751,76,1,4,3,Martes
752,76,2,13,4,Jueves
753,76,3,7,5,Miercoles
754,76,4,17,5,Miercoles
755,76,5,2,5,Viernes
756,76,6,102,3,Viernes
757,76,7,36,4,Jueves
758,76,8,31,3,Viernes
759,76,9,114,3,Martes
760,76,10,9,3,Lunes
761,77,1,113,2,Lunes
762,77,2,42,4,Lunes
763,77,3,33,4,Jueves
764,77,4,104,4,Jueves
765,77,5,108,4,Miercoles
766,77,6,102,2,Jueves
767,77,7,80,5,Viernes
768,77,8,18,4,Jueves
769,77,9,73,4,Lunes
770,77,10,119,2,Lunes
771,78,1,79,4,Viernes
772,78,2,106,5,Jueves
773,78,3,117,3,Miercoles
774,78,4,110,2,Miercoles
775,78,5,44,5,Miercoles
776,78,6,12,5,Miercoles
777,78,7,80,3,Lunes
778,78,8,64,3,Miercoles
779,78,9,51,5,Jueves
780,78,10,88,4,Miercoles
781,79,1,79,5,Lunes
782,79,2,124,5,Jueves
783,79,3,26,3,Lunes
784,79,4,68,5,Martes
785,79,5,108,2,Jueves
786,79,6,102,5,Lunes
787,79,7,36,5,Martes
788,79,8,56,5,Martes
789,79,9,90,5,Jueves
790,79,10,59,5,Viernes
791,80,1,109,3,Lunes
792,80,2,45,3,Jueves
793,80,3,40,3,Lunes
794,80,4,53,3,Jueves
795,80,5,81,2,Lunes
796,80,6,28,4,Lunes
797,80,7,80,2,Miercoles
798,80,8,37,4,Miercoles
799,80,9,73,3,Viernes
800,80,10,39,2,Viernes
801,81,1,4,2,Lunes
802,81,2,125,3,Miercoles
803,81,3,7,2,Jueves
804,81,4,91,3,Lunes
805,81,5,108,3,Viernes
806,81,6,12,5,Miercoles
807,81,7,36,2,Lunes
808,81,8,61,3,Jueves
809,81,9,62,4,Martes
810,81,10,59,2,Viernes
811,82,1,6,5,Viernes
812,82,2,105,4,Lunes
813,82,3,40,3,Jueves
814,82,4,60,3,Lunes
815,82,5,87,2,Jueves
816,82,6,96,5,Jueves
817,82,7,98,4,Martes
818,82,8,61,2,Jueves
819,82,9,22,5,Jueves
820,82,10,69,2,Lunes
821,83,1,109,5,Jueves
822,83,2,66,3,Lunes
823,83,3,24,4,Miercoles
824,83,4,41,3,Jueves
825,83,5,46,4,Jueves
826,83,6,95,3,Martes
827,83,7,86,5,Viernes
828,83,8,61,3,Martes
829,83,9,15,5,Jueves
830,83,10,112,5,Martes
831,84,1,123,4,Martes
832,84,2,1,5,Martes
833,84,3,7,4,Martes
834,84,4,60,4,Miercoles
835,84,5,103,2,Lunes
836,84,6,14,2,Martes
837,84,7,74,5,Martes
838,84,8,64,2,Jueves
839,84,9,51,4,Miercoles
840,84,10,54,2,Martes
841,85,1,4,2,Viernes
842,85,2,42,3,Martes
843,85,3,26,3,Lunes
844,85,4,104,5,Lunes
845,85,5,103,4,Miercoles
846,85,6,12,2,Viernes
847,85,7,80,4,Viernes
848,85,8,92,2,Martes
849,85,9,63,2,Lunes
850,85,10,71,3,Martes
851,86,1,123,5,Jueves
852,86,2,99,5,Martes
853,86,3,33,2,Jueves
854,86,4,17,2,Jueves
855,86,5,81,5,Martes
856,86,6,102,2,Lunes
857,86,7,74,3,Miercoles
858,86,8,64,4,Jueves
859,86,9,15,4,Martes
860,86,10,72,4,Lunes
861,87,1,109,3,Jueves
862,87,2,45,2,Viernes
863,87,3,97,3,Jueves
864,87,4,38,2,Martes
865,87,5,49,3,Martes
866,87,6,12,5,Lunes
867,87,7,116,2,Jueves
868,87,8,64,4,Miercoles
869,87,9,90,3,Jueves
870,87,10,85,2,Martes
871,88,1,101,2,Jueves
872,88,2,1,2,Miercoles
873,88,3,97,2,Viernes
874,88,4,58,3,Miercoles
875,88,5,108,3,Jueves
876,88,6,95,2,Miercoles
877,88,7,80,3,Viernes
878,88,8,56,3,Miercoles
879,88,9,73,5,Jueves
880,88,10,84,4,Viernes
881,89,1,79,4,Lunes
882,89,2,125,3,Miercoles
883,89,3,100,2,Jueves
884,89,4,41,2,Viernes
885,89,5,126,4,Viernes
886,89,6,102,2,Lunes
887,89,7,74,4,Jueves
888,89,8,18,4,Martes
889,89,9,29,4,Martes
890,89,10,88,2,Miercoles
891,90,1,6,3,Jueves
892,90,2,124,4,Miercoles
893,90,3,52,4,Miercoles
894,90,4,41,4,Viernes
895,90,5,82,2,Miercoles
896,90,6,75,3,Lunes
897,90,7,36,3,Lunes
898,90,8,129,3,Martes
899,90,9,51,3,Jueves
900,90,10,84,5,Miercoles
901,91,1,121,5,Martes
902,91,2,99,2,Lunes
903,91,3,26,3,Miercoles
904,91,4,50,2,Jueves
905,91,5,2,5,Miercoles
906,91,6,96,4,Miercoles
907,91,7,98,4,Viernes
908,91,8,23,4,Viernes
909,91,9,73,2,Miercoles
910,91,10,119,3,Jueves
911,92,1,109,5,Jueves
912,92,2,105,3,Martes
913,92,3,127,4,Jueves
914,92,4,60,2,Jueves
915,92,5,44,2,Lunes
916,92,6,14,3,Lunes
917,92,7,86,3,Lunes
918,92,8,23,4,Lunes
919,92,9,65,3,Martes
920,92,10,85,2,Jueves
921,93,1,101,4,Jueves
922,93,2,124,2,Miercoles
923,93,3,30,3,Martes
924,93,4,50,5,Viernes
925,93,5,81,5,Miercoles
926,93,6,75,4,Jueves
927,93,7,86,5,Lunes
