id,id_padre,id_alumno,parentesco
198,158,3773,Padre
199,159,1613,Madre
200,160,3706,Padre
201,160,2663,Padre
202,161,439,Madre
203,162,3739,Padre
204,162,1359,Padre
205,163,238,Padre
206,164,3536,Padre
207,164,1706,Padre
208,165,140,Padre
209,166,204,Padre
210,167,3737,Madre
211,168,3573,Madre
212,168,3360,Madre
213,169,2075,Madre
214,170,3755,Padre
215,171,1962,Madre
216,172,1000,Madre
217,172,4003,Madre
218,173,3184,Madre
219,174,1521,Padre
220,175,342,Padre
221,176,1627,Madre
222,177,243,Madre
223,178,4094,Madre
224,179,1242,Madre
225,180,3784,Padre
226,181,411,Madre
227,181,1805,Madre
228,182,774,Padre
229,183,1356,Padre
230,183,2236,Padre
231,184,3510,Madre
232,184,2619,Madre
233,185,642,Padre
234,186,307,Padre
235,186,1069,Padre
236,187,3977,Madre
237,188,3983,Madre
238,189,1468,Padre
239,190,343,Madre
240,191,3954,Padre
241,192,3708,Madre
242,193,2154,Padre
243,194,2617,Padre
244,195,644,Padre
245,196,1583,Padre
246,197,3625,Padre
247,198,2505,Madre
248,199,1744,Madre
249,199,1859,Madre
250,200,2260,Padre
251,201,3079,Padre
252,202,1629,Madre
253,203,3845,Madre
254,204,4071,Madre
255,204,3139,Madre
256,205,4052,Madre
257,205,2529,Madre
258,206,1946,Padre
259,206,1514,Padre
260,207,1238,Madre
261,208,836,Padre
262,208,3171,Padre
263,209,2938,Madre
264,210,3535,Madre
265,211,3208,Madre
266,212,3113,Madre
267,213,1178,Madre
268,214,1316,Madre
269,214,1700,Madre
270,215,4032,Padre
271,215,3776,Padre
272,216,251,Madre
273,217,1737,Madre
274,217,919,Madre
275,218,1449,Padre
276,219,896,Madre
277,220,3245,Padre
278,221,2147,Madre
279,221,3721,Madre
280,221,595,Madre
281,222,1612,Padre
282,223,3656,Padre
283,223,3572,Padre
284,224,763,Madre
285,225,194,Padre
286,226,2875,Madre
287,227,1040,Madre
288,228,1239,Padre
289,228,3384,Padre
290,228,3716,Padre
291,229,1481,Padre
292,229,19,Padre
293,230,1803,Madre
294,231,1208,Padre
295,231,1498,Padre
296,232,957,Padre
297,232,2328,Padre
298,233,52,Padre
299,234,2076,Madre
300,235,1776,Madre
301,236,397,Padre
302,237,2887,Madre
303,238,2211,Padre
304,239,3151,Padre
305,239,2830,Padre
306,240,2332,Padre
307,240,1459,Padre
308,240,2180,Padre
309,241,1092,Padre
310,242,466,Madre
311,243,3265,Madre
312,244,4041,Padre
313,245,3493,Madre
314,245,710,Madre
315,246,1938,Madre
316,247,1335,Madre
317,247,3189,Madre
318,248,2792,Padre
319,249,442,Padre
320,250,1669,Madre
321,251,728,Madre
322,252,23,Madre
323,252,3443,Madre
324,253,2337,Padre
325,254,2588,Padre
326,255,3035,Padre
327,256,2947,Madre
328,257,1327,Padre
329,258,747,Madre
330,259,2773,Padre
331,260,3385,Padre
332,261,2713,Padre
333,262,1876,Padre
334,263,1795,Padre
335,264,2454,Madre
336,264,1336,Madre
337,265,2314,Padre
338,266,1854,Madre
339,267,57,Padre
340,268,3876,Padre
341,269,2545,Padre
342,270,2199,Madre
343,270,4081,Madre
344,271,3273,Madre
345,272,3198,Madre
346,272,2282,Madre
347,273,2007,Padre
348,273,861,Padre
349,274,2350,Madre
350,275,184,Madre
351,276,2839,Madre
352,277,848,Padre
353,278,2579,Padre
354,278,2200,Padre
355,279,3244,Madre
356,279,3617,Madre
357,280,3162,Madre
358,280,3754,Madre
359,281,3410,Padre
360,282,2751,Madre
361,282,1754,Madre
362,283,1014,Madre
363,283,3690,Madre
364,284,2869,Madre
365,285,2334,Padre
366,286,2070,Padre
367,287,3441,Madre
368,288,3532,Padre
369,289,1978,Padre
370,289,2176,Padre
371,290,2702,Madre
372,291,1423,Madre
373,291,2011,Madre
374,292,660,Madre
375,293,1957,Padre
376,294,1181,Madre
377,294,3013,Madre
378,295,1519,Padre
379,296,1282,Padre
380,296,2951,Padre
381,296,1696,Padre
382,297,1126,Madre
383,298,1189,Padre
384,299,1963,Madre
385,299,594,Madre
386,300,3878,Padre
387,301,1012,Madre
388,302,2905,Padre
389,303,2415,Madre
390,303,2153,Madre
391,304,3072,Madre
392,305,808,Madre
393,306,2304,Madre
394,307,1578,Madre
395,308,287,Madre
396,308,242,Madre
397,309,3481,Madre
398,310,1506,Madre
399,311,3105,Madre
400,311,1824,Madre
401,312,1867,Padre
402,313,564,Padre
403,313,1136,Padre
404,314,4053,Madre
405,315,2418,Madre
406,316,1864,Madre
407,316,538,Madre
408,317,1046,Madre
409,317,3753,Madre
410,318,1188,Padre
411,319,1757,Padre
412,320,348,Madre
413,321,2349,Madre
414,322,2502,Padre
415,323,2709,Madre
416,324,1546,Padre
417,325,2914,Madre
418,326,29,Padre
419,326,1076,Padre
420,326,3723,Padre
421,327,568,Madre
422,327,1036,Madre
423,328,1851,Padre
424,328,486,Padre
425,329,509,Padre
426,330,150,Padre
427,331,139,Padre
428,332,2521,Madre
429,333,914,Padre
430,334,504,Madre
431,335,3274,Madre
432,336,3025,Padre
433,337,416,Padre
434,337,328,Padre
435,338,869,Madre
436,339,433,Padre
437,340,1437,Padre
438,340,1305,Padre
439,340,3909,Padre
440,341,2232,Padre
441,342,866,Padre
442,343,3301,Padre
443,344,367,Padre
444,345,2549,Padre
445,346,1689,Madre
446,347,3090,Padre
447,348,3541,Padre
448,349,3675,Madre
449,350,2054,Madre
450,351,2299,Madre
451,352,392,Padre
452,352,84,Padre
453,353,4102,Padre
454,354,2256,Madre
455,355,2959,Padre
456,355,3962,Padre
457,356,2850,Padre
458,357,206,Madre
459,358,2844,Madre
460,359,2267,Padre
461,360,1647,Madre
462,361,1458,Padre
463,361,3660,Padre
464,362,215,Padre
465,363,2025,Padre
466,364,2620,Madre
467,364,2330,Madre
468,365,2027,Madre
469,366,3993,Padre
470,366,2694,Padre
471,366,87,Padre
472,367,3958,Padre
473,368,514,Madre
474,368,4106,Madre
475,369,3942,Madre
476,370,2855,Madre
477,370,4048,Madre
478,371,3253,Padre
479,372,3702,Madre
480,373,3563,Padre
481,373,3302,Padre
482,374,3415,Padre
483,375,1733,Padre
484,376,1087,Padre
485,377,2801,Madre
486,378,3806,Madre
487,378,3526,Madre
488,379,2303,Madre
489,379,3924,Madre
490,379,168,Madre
491,380,2098,Madre
492,380,4043,Madre
493,380,2945,Madre
494,381,1452,Madre
495,382,1426,Madre
496,383,3518,Madre
497,383,3006,Madre
498,384,1885,Padre
499,385,2578,Padre
500,386,2731,Madre
501,387,2150,Madre
502,388,3824,Madre
503,389,2194,Padre
504,389,540,Padre
505,390,3871,Madre
506,391,2110,Madre
507,392,2561,Padre
508,393,720,Madre
509,394,1255,Padre
510,394,1357,Padre
511,395,3952,Padre
512,396,3987,Madre
513,396,3361,Madre
514,397,2506,Padre
515,398,2131,Madre
516,399,2843,Madre
517,400,638,Madre
518,400,1791,Madre
519,401,4004,Madre
520,402,1343,Padre
521,403,1163,Madre
522,404,1470,Madre
523,404,2395,Madre
524,405,2348,Madre
525,406,365,Padre
526,406,1999,Padre
527,407,1274,Madre
528,408,624,Padre
529,409,2678,Madre
530,409,2426,Madre
531,409,2155,Madre
532,410,3614,Padre
533,410,1263,Padre
534,411,3321,Padre
535,412,2436,Padre
536,413,2040,Padre
537,414,1800,Padre
538,415,2120,Madre
539,415,3566,Madre
540,416,2048,Padre
541,417,451,Madre
542,417,1066,Madre
543,418,665,Padre
544,418,1656,Padre
545,419,399,Madre
546,420,12,Madre
547,421,1739,Padre
548,422,827,Madre
549,423,712,Madre
550,423,1722,Madre
551,424,819,Madre
552,425,1427,Madre
553,426,547,Madre
554,427,2457,Padre
555,428,309,Padre
556,429,3438,Madre
557,429,2478,Madre
558,430,717,Madre
559,431,1512,Padre
560,432,3445,Madre
561,433,1202,Padre
562,434,871,Padre
563,434,1028,Padre
564,435,1213,Padre
565,436,895,Madre
566,437,1875,Madre
567,437,3694,Madre
568,438,2841,Padre
569,439,2853,Madre
570,440,2421,Padre
571,441,727,Padre
572,442,1778,Madre
573,443,4005,Padre
574,444,3298,Padre
575,444,1051,Padre
576,445,2675,Madre
577,446,2917,Madre
578,447,2920,Madre
579,448,985,Padre
580,449,2367,Madre
581,450,2999,Padre
582,451,2357,Padre
583,452,1832,Madre
584,452,7,Madre
585,452,3818,Madre
586,453,2249,Madre
587,454,2949,Madre
588,455,1341,Padre
589,455,1172,Padre
590,456,3011,Madre
591,457,1270,Padre
592,458,2625,Madre
593,459,3577,Padre
594,460,3768,Madre
595,461,1699,Madre
596,462,2665,Padre
597,462,1042,Padre
598,463,3511,Padre
599,464,2960,Padre
600,465,2167,Madre
601,465,255,Madre
602,466,933,Padre
603,467,2160,Padre
604,468,2657,Madre
605,469,3082,Madre
606,469,609,Madre
607,469,496,Madre
608,470,716,Padre
609,471,2651,Padre
610,472,2092,Madre
611,473,3024,Padre
612,474,1310,Padre
613,474,356,Padre
614,475,167,Madre
615,476,579,Padre
616,477,2074,Madre
617,477,3342,Madre
618,478,850,Madre
619,479,2034,Padre
620,480,3012,Madre
621,481,181,Madre
622,482,1328,Madre
623,482,3902,Madre
624,483,2292,Padre
625,484,571,Madre
626,485,2729,Padre
627,486,2523,Madre
628,487,4085,Madre
629,488,3976,Madre
630,489,1693,Padre
631,490,2487,Padre
632,491,505,Padre
633,491,3444,Padre
634,492,1731,Madre
635,492,2435,Madre
636,493,2094,Madre
637,494,1086,Padre
638,495,2682,Madre
639,496,76,Padre
640,497,1740,Padre
641,497,3531,Padre
642,498,3288,Padre
643,498,539,Padre
644,498,3968,Padre
645,499,464,Madre
646,500,1155,Madre
647,501,2425,Madre
648,502,3110,Padre
649,502,757,Padre
650,503,3032,Padre
651,504,3665,Padre
652,505,2132,Madre
653,506,3278,Padre
654,506,269,Padre
655,507,1855,Padre
656,508,100,Madre
657,509,2083,Madre
658,510,1017,Madre
659,511,3331,Padre
660,512,2560,Madre
661,513,589,Padre
662,514,3488,Madre
663,514,2531,Madre
664,515,1319,Madre
665,515,4097,Madre
666,516,937,Padre
667,517,2953,Madre
668,517,3959,Madre
669,518,3500,Padre
670,519,1056,Padre
671,520,639,Madre
672,520,1759,Madre
673,521,585,Madre
674,522,661,Padre
675,523,3998,Padre
676,524,1980,Padre
677,525,3713,Padre
678,526,2283,Madre
679,527,460,Padre
680,528,423,Padre
681,529,3989,Madre
682,530,2749,Madre
683,531,2064,Padre
684,532,1110,Madre
685,533,1300,Padre
686,533,2482,Padre
687,533,1956,Padre
688,534,2803,Madre
689,534,1537,Madre
690,535,2941,Padre
691,535,1127,Padre
692,536,3674,Padre
693,537,3091,Madre
694,538,3300,Padre
695,539,3339,Padre
696,540,2547,Padre
697,541,2295,Padre
698,542,3092,Padre
699,542,2685,Padre
700,543,1231,Padre
701,544,1015,Madre
702,544,3369,Madre
703,545,4000,Padre
704,546,2937,Madre
705,546,3781,Madre
706,547,2582,Padre
707,547,257,Padre
708,548,3495,Madre
709,549,3646,Padre
710,550,2921,Padre
711,551,2739,Madre
712,551,2664,Madre
713,552,2671,Padre
714,553,1128,Padre
715,554,3523,Madre
716,554,3943,Madre
717,555,1367,Padre
718,556,911,Padre
719,556,652,Padre
720,556,448,Padre
721,557,2475,Padre
722,558,1368,Padre
723,559,1799,Padre
724,560,2177,Madre
725,561,1621,Padre
726,562,3529,Padre
727,563,3757,Padre
728,564,3088,Padre
729,565,1027,Padre
730,566,899,Padre
731,566,4024,Padre
732,567,3249,Padre
733,568,3329,Padre
734,569,3222,Padre
735,570,3847,Madre
736,570,3802,Madre
737,571,134,Madre
738,572,2708,Padre
739,573,368,Padre
740,574,1550,Madre
741,574,1968,Madre
742,575,714,Padre
743,576,2326,Padre
744,577,3127,Padre
745,577,2273,Padre
746,578,1149,Padre
747,578,4105,Padre
748,579,1138,Padre
749,579,3648,Padre
750,580,3960,Madre
751,580,3950,Madre
752,580,1192,Madre
753,581,491,Madre
754,582,1216,Padre
755,583,1667,Madre
756,584,1954,Madre
757,585,3805,Madre
758,586,3869,Madre
759,587,751,Madre
760,588,41,Madre
761,588,2781,Madre
762,589,649,Madre
763,590,374,Madre
764,591,3732,Madre
765,591,1048,Madre
766,592,2722,Padre
767,593,912,Madre
768,593,2882,Madre
769,594,634,Padre
770,595,3333,Padre
771,596,3077,Madre
772,597,3118,Padre
773,598,478,Madre
774,599,3709,Madre
775,600,1545,Madre
776,601,2593,Madre
777,602,2322,Madre
778,603,1090,Padre
779,604,1295,Madre
780,605,2895,Padre
781,605,2968,Padre
782,606,1845,Padre
783,606,2067,Padre
784,606,1130,Padre
785,607,1674,Padre
786,608,3880,Padre
787,609,3534,Madre
788,610,932,Padre
789,611,2405,Madre
790,612,2015,Padre
791,613,3083,Madre
792,614,58,Madre
793,614,2379,Madre
794,615,1400,Padre
795,616,2975,Madre
796,617,2218,Madre
797,618,910,Madre
798,619,2037,Madre
799,620,2359,Padre
800,621,2394,Padre
801,622,3317,Padre
802,623,1878,Madre
803,624,2693,Madre
804,625,3349,Madre
805,626,230,Padre
806,627,2816,Madre
807,628,1363,Madre
808,629,698,Madre
809,630,4054,Padre
810,631,3881,Madre
811,632,3953,Madre
812,633,3330,Padre
813,634,2031,Madre
814,635,419,Padre
815,636,590,Padre
816,637,3533,Madre
817,637,1067,Madre
818,638,4013,Madre
819,639,11,Madre
820,640,1927,Padre
821,641,2307,Madre
822,642,2145,Madre
823,642,1982,Madre
824,643,2837,Madre
825,644,3570,Madre
826,645,1971,Madre
827,646,1068,Padre
828,646,3931,Padre
829,647,3588,Padre
830,648,576,Padre
831,649,701,Padre
832,650,4026,Padre
833,650,1167,Padre
834,650,3594,Padre
835,651,326,Padre
836,652,191,Madre
837,652,1801,Madre
838,653,1308,Padre
839,654,3980,Padre
840,655,2358,Padre
841,656,177,Padre
842,657,2979,Madre
843,658,3764,Padre
844,658,1653,Padre
845,659,2451,Padre
846,660,1965,Madre
847,661,457,Padre
848,662,4063,Madre
849,662,3590,Madre
850,663,3905,Padre
851,663,1254,Padre
852,663,3228,Padre
853,664,67,Padre
854,664,1292,Padre
855,664,796,Padre
856,665,3638,Padre
857,665,2815,Padre
858,666,1205,Madre
859,667,516,Madre
860,668,3786,Padre
861,669,1817,Madre
862,670,1287,Madre
863,671,1900,Padre
864,672,189,Padre
865,673,3424,Madre
866,674,1590,Madre
867,675,1536,Padre
868,675,2894,Padre
869,675,3555,Padre
870,676,1228,Madre
871,676,379,Madre
872,677,2366,Padre
873,678,3114,Padre
874,679,2813,Madre
875,680,3133,Padre
876,681,410,Madre
877,681,1596,Madre
878,682,2986,Padre
879,683,1144,Padre
880,683,959,Padre
881,684,118,Madre
882,685,1473,Padre
883,686,458,Padre
884,687,306,Madre
885,688,2676,Madre
886,689,2437,Padre
887,690,2354,Padre
888,691,122,Padre
889,692,28,Madre
890,693,1811,Madre
891,694,4010,Madre
892,695,2552,Madre
893,695,3368,Madre
894,696,1783,Padre
895,697,2215,Padre
896,697,2310,Padre
897,698,1599,Padre
898,699,1781,Madre
899,699,3347,Madre
900,700,2461,Padre
901,700,3584,Padre
902,701,1919,Madre
903,701,3632,Madre
904,702,2402,Madre
905,703,2255,Padre
906,704,1777,Padre
907,705,1743,Madre
908,706,331,Padre
909,707,2365,Madre
910,708,810,Madre
911,709,3289,Madre
912,709,475,Madre
913,710,222,Padre
914,711,756,Padre
915,711,364,Padre
916,712,335,Padre
917,712,2245,Padre
918,713,1882,Padre
919,714,3670,Padre
920,715,3217,Padre
921,716,1686,Madre
922,717,2627,Madre
923,718,2188,Madre
924,719,1382,Padre
925,720,3483,Padre
926,721,2494,Madre
927,722,725,Madre
928,723,2089,Madre
929,724,452,Padre
930,725,2061,Madre
931,726,3679,Padre
932,727,1049,Padre
933,728,2389,Padre
934,728,3315,Padre
935,729,2649,Padre
936,730,1695,Madre
937,730,2386,Madre
938,731,434,Madre
939,732,1065,Padre
940,733,729,Madre
941,733,488,Madre
942,734,1289,Madre
943,735,3801,Padre
944,735,1933,Padre
945,736,2574,Padre
946,737,2583,Padre
947,737,2707,Padre
948,738,552,Padre
949,739,16,Padre
950,740,117,Madre
951,740,224,Madre
952,740,2069,Madre
953,741,156,Padre
954,741,1124,Padre
955,741,894,Padre
956,742,1997,Madre
957,743,2168,Padre
958,743,685,Padre
959,744,2889,Padre
960,745,418,Madre
961,746,1846,Madre
962,747,3319,Padre
963,747,438,Padre
964,748,3156,Madre
965,749,2263,Padre
966,750,1762,Padre
967,751,2747,Padre
968,751,2559,Padre
969,752,3459,Padre
970,752,346,Padre
971,753,2341,Padre
972,754,3502,Madre
973,754,983,Madre
974,755,324,Madre
975,756,1660,Padre
976,756,2930,Padre
977,757,1849,Padre
978,757,3206,Padre
979,758,3157,Madre
980,759,689,Madre
981,759,1421,Madre
982,760,1865,Madre
983,761,1894,Madre
984,761,3798,Madre
985,761,1761,Madre
986,762,3462,Padre
987,763,862,Madre
988,764,1857,Madre
989,764,544,Madre
990,765,236,Madre
991,766,36,Madre
992,766,3042,Madre
993,767,3820,Padre
994,768,182,Padre
995,769,3886,Padre
996,770,3767,Padre
997,771,1266,Padre
998,772,2569,Madre
999,772,2331,Madre
1000,773,2507,Padre
1001,774,3636,Padre
1002,775,4015,Madre
1003,776,613,Madre
1004,777,1924,Madre
1005,778,2542,Madre
1006,779,3272,Madre
1007,780,2910,Padre
1008,781,1406,Madre
1009,782,2275,Padre
1010,783,1869,Madre
1011,783,2796,Madre
1012,784,175,Padre
1013,785,2220,Padre
1014,786,1925,Madre
1015,787,1117,Padre
1016,787,2819,Padre
1017,788,1604,Padre
1018,789,463,Madre
1019,790,1708,Madre
1020,791,4046,Madre
1021,792,2774,Madre
1022,792,578,Madre
1023,793,327,Madre
1024,794,1029,Madre
1025,794,925,Madre
1026,795,2071,Padre
1027,796,3030,Madre
1028,797,3041,Madre
1029,798,1723,Madre
1030,799,417,Padre
1031,800,3785,Madre
1032,800,1559,Madre
1033,801,3940,Padre
1034,802,699,Madre
1035,802,3452,Madre
1036,803,2669,Madre
1037,804,3863,Madre
1038,805,1623,Madre
1039,806,2139,Madre
1040,807,4083,Madre
1041,808,2915,Padre
1042,809,3955,Padre
1043,810,1173,Madre
1044,811,2171,Padre
1045,812,2470,Padre
1046,813,3653,Padre
1047,813,1398,Padre
1048,814,2884,Padre
1049,815,3771,Padre
1050,816,2672,Madre
1051,816,270,Madre
1052,817,2058,Madre
1053,818,2006,Madre
1054,818,3649,Madre
1055,819,1902,Padre
1056,820,183,Madre
1057,821,2302,Padre
1058,822,3991,Madre
1059,823,169,Madre
1060,824,2728,Padre
1061,825,3213,Madre
1062,825,1024,Madre
1063,826,1137,Madre
1064,827,1807,Madre
1065,827,2135,Madre
1066,828,2230,Padre
1067,828,1518,Padre
1068,829,4062,Madre
1069,829,521,Madre
1070,830,2750,Madre
1071,830,149,Madre
1072,831,3724,Madre
1073,832,355,Madre
1074,833,77,Madre
1075,833,3598,Madre
1076,834,1293,Madre
1077,835,3437,Madre
1078,836,428,Madre
1079,837,593,Padre
1080,838,3341,Madre
1081,839,3391,Padre
1082,840,2674,Madre
1083,841,2066,Padre
1084,842,471,Padre
1085,842,960,Padre
1086,843,2101,Madre
1087,844,2413,Padre
1088,845,1841,Padre
1089,846,3175,Madre
1090,847,697,Madre
1091,848,1610,Madre
1092,849,2618,Madre
1093,850,3530,Padre
1094,850,2826,Padre
1095,851,2727,Padre
1096,852,158,Madre
1097,852,1323,Madre
1098,853,2442,Madre
1099,854,1010,Padre
1100,854,1690,Padre
1101,855,3068,Madre
1102,856,2563,Padre
1103,857,372,Padre
1104,857,713,Padre
1105,858,339,Padre
1106,859,2605,Madre
1107,859,1770,Madre
1108,860,2536,Padre
1109,861,4066,Padre
1110,862,1472,Padre
1111,862,1001,Padre
1112,863,141,Madre
1113,864,2016,Padre
1114,865,2666,Madre
1115,865,3001,Madre
1116,866,1707,Madre
1117,867,1477,Madre
1118,868,2225,Madre
1119,869,3850,Madre
1120,870,847,Padre
1121,871,3537,Madre
1122,872,592,Madre
1123,873,843,Padre
1124,874,310,Madre
1125,875,3241,Madre
1126,876,3123,Padre
1127,876,1217,Padre
1128,876,3904,Padre
1129,877,1636,Padre
1130,878,2186,Madre
1131,879,2962,Madre
1132,879,1428,Madre
1133,880,3115,Padre
1134,880,3540,Padre
1135,881,385,Padre
1136,881,386,Padre
1137,882,1158,Madre
1138,883,2534,Madre
1139,884,3255,Padre
1140,885,3279,Madre
1141,886,1943,Madre
1142,887,2585,Padre
1143,888,3252,Padre
1144,889,606,Padre
1145,890,1822,Madre
1146,891,2705,Padre
1147,892,3254,Padre
1148,893,1692,Madre
1149,894,681,Padre
1150,894,1969,Padre
1151,894,783,Padre
1152,895,2509,Madre
1153,896,1250,Madre
1154,897,4090,Madre
1155,897,446,Madre
1156,898,1379,Madre
1157,898,934,Madre
1158,899,3852,Padre
1159,899,3183,Padre
1160,900,2207,Madre
1161,901,1991,Madre
1162,902,3550,Padre
1163,903,1269,Madre
1164,903,1223,Madre
1165,904,898,Madre
1166,905,1073,Madre
1167,906,675,Padre
1168,906,2196,Padre
1169,907,2276,Padre
1170,908,4019,Padre
1171,909,842,Madre
1172,910,535,Madre
1173,910,2641,Madre
1174,911,3999,Madre
1175,912,2050,Madre
1176,912,323,Madre
1177,913,2175,Padre
1178,914,2533,Padre
1179,915,131,Madre
1180,915,1038,Madre
1181,916,3888,Madre
1182,917,1872,Padre
1183,918,1093,Padre
1184,919,1628,Madre
1185,920,1009,Padre
1186,921,1330,Madre
1187,922,2012,Padre
1188,922,4070,Padre
1189,923,2771,Madre
1190,923,1434,Madre
1191,924,2746,Padre
1192,924,2719,Padre
1193,925,2466,Padre
1194,926,3276,Madre
1195,927,2557,Padre
1196,928,941,Padre
1197,929,3102,Padre
1198,930,3158,Madre
1199,931,1062,Madre
1200,932,1764,Madre
1201,932,782,Madre
1202,933,2848,Madre
1203,934,500,Padre
1204,935,405,Padre
1205,936,1998,Padre
1206,937,2452,Padre
1207,938,1490,Padre
1208,939,2974,Padre
1209,940,922,Padre
1210,941,2989,Padre
1211,942,2434,Padre
1212,942,487,Padre
1213,942,2874,Padre
1214,943,2417,Padre
1215,944,1853,Madre
1216,945,2265,Madre
1217,946,3891,Madre
1218,946,1844,Madre
1219,947,1782,Padre
1220,948,2993,Madre
1221,949,3056,Madre
1222,950,955,Madre
1223,951,380,Padre
1224,951,2261,Padre
1225,952,1813,Padre
1226,953,1234,Madre
1227,953,870,Madre
1228,954,736,Padre
1229,955,450,Padre
1230,956,4033,Padre
1231,957,2372,Madre
1232,958,497,Padre
1233,959,2416,Madre
1234,960,2802,Madre
1235,961,3490,Padre
1236,961,2648,Padre
1237,962,2159,Madre
1238,963,1714,Madre
1239,964,3772,Madre
1240,965,1104,Padre
1241,966,1102,Madre
1242,967,2339,Padre
1243,968,2192,Padre
1244,969,1675,Padre
1245,969,229,Padre
1246,970,1348,Padre
1247,971,3973,Padre
1248,972,2406,Padre
1249,973,2927,Padre
1250,974,2928,Madre
1251,974,859,Madre
1252,975,3741,Padre
1253,976,3332,Padre
1254,977,1622,Padre
1255,977,1624,Padre
1256,978,469,Padre
1257,979,2638,Madre
1258,980,1814,Padre
1259,980,2896,Padre
1260,981,626,Madre
1261,982,2059,Madre
1262,983,3707,Madre
1263,984,1719,Padre
1264,984,35,Padre
1265,984,1827,Padre
1266,985,1594,Madre
1267,986,1445,Madre
1268,986,901,Madre
1269,987,2158,Padre
1270,988,15,Padre
